aedrug_id,Company,Product,metric_type,units,freq,metric_value,metric_key
257,AbbVie,Humira,product_sales,usd_mm,YEAR,5236.000,2013-12-31
156,Otsuka Holdings,Abilify,product_sales,usd_mm,YEAR,4548.765,2013-12-31
284,GlaxoSmithKline,Seretide/Advair,product_sales,usd_mm,YEAR,4332.225,2013-12-31
928,Sanofi,Lantus,product_sales,usd_mm,YEAR,4977.594,2013-12-31
2526,Amgen,Enbrel,product_sales,usd_mm,YEAR,4256.000,2013-12-31
13,Eli Lilly,Cymbalta,product_sales,usd_mm,YEAR,3960.800,2013-12-31
1178,Johnson & Johnson,Remicade,product_sales,usd_mm,YEAR,3891.000,2013-12-31
1152,Roche,Rituxan,product_sales,usd_mm,YEAR,3593.527,2013-12-31
4471,Amgen,Neulasta,product_sales,usd_mm,YEAR,3499.000,2013-12-31
1928,AstraZeneca,Crestor,product_sales,usd_mm,YEAR,2912.000,2013-12-31
1850,Teva Pharmaceutical Industries,Copaxone,product_sales,usd_mm,YEAR,3200.000,2013-12-31
42,Roche,Avastin,product_sales,usd_mm,YEAR,2779.613,2013-12-31
6,Bristol-Myers Squibb,Plavix,product_sales,usd_mm,YEAR,153.000,2013-12-31
5337,Boehringer Ingelheim,Spiriva,product_sales,usd_mm,YEAR,2416.398,2013-12-31
2684,AstraZeneca,Nexium,product_sales,usd_mm,YEAR,2123.000,2013-12-31
814,Gilead Sciences,Atripla,product_sales,usd_mm,YEAR,2355.970,2013-12-31
3608,Merck & Co,Singulair,product_sales,usd_mm,YEAR,61.000,2013-12-31
21,Celgene,Revlimid,product_sales,usd_mm,YEAR,2489.000,2013-12-31
3727,Merck & Co,Januvia,product_sales,usd_mm,YEAR,2068.000,2013-12-31
1765,Novartis,Diovan,product_sales,usd_mm,YEAR,1679.000,2013-12-31
2613,Amgen,Epogen,product_sales,usd_mm,YEAR,1953.000,2013-12-31
4916,Pfizer,Prevnar 13,product_sales,usd_mm,YEAR,1804.000,2013-12-31
849,Biogen Idec,Avonex,product_sales,usd_mm,YEAR,1902.000,2013-12-31
