Company	Product	metric_type	units	freq	metric_value	metric_key
AbbVie	Humira	product_sales	usd_mm	YEAR	5236.000	2013-12-31
Otsuka Holdings	Abilify	product_sales	usd_mm	YEAR	4548.765	2013-12-31
GlaxoSmithKline	Seretide/Advair	product_sales	usd_mm	YEAR	4332.225	2013-12-31
Sanofi	Lantus	product_sales	usd_mm	YEAR	4977.594	2013-12-31
Amgen	Enbrel	product_sales	usd_mm	YEAR	4256.000	2013-12-31
Eli Lilly	Cymbalta	product_sales	usd_mm	YEAR	3960.800	2013-12-31
Johnson & Johnson	Remicade	product_sales	usd_mm	YEAR	3891.000	2013-12-31
Roche	Rituxan	product_sales	usd_mm	YEAR	3593.527	2013-12-31
Amgen	Neulasta	product_sales	usd_mm	YEAR	3499.000	2013-12-31
AstraZeneca	Crestor	product_sales	usd_mm	YEAR	2912.000	2013-12-31
Teva Pharmaceutical Industries	Copaxone	product_sales	usd_mm	YEAR	3200.000	2013-12-31
Roche	Avastin	product_sales	usd_mm	YEAR	2779.613	2013-12-31
Bristol-Myers Squibb	Plavix	product_sales	usd_mm	YEAR	153.000	2013-12-31
Boehringer Ingelheim	Spiriva	product_sales	usd_mm	YEAR	2416.398	2013-12-31
AstraZeneca	Nexium	product_sales	usd_mm	YEAR	2123.000	2013-12-31
Gilead Sciences	Atripla	product_sales	usd_mm	YEAR	2355.970	2013-12-31
Merck & Co	Singulair	product_sales	usd_mm	YEAR	61.000	2013-12-31
Celgene	Revlimid	product_sales	usd_mm	YEAR	2489.000	2013-12-31
Merck & Co	Januvia	product_sales	usd_mm	YEAR	2068.000	2013-12-31
Novartis	Diovan	product_sales	usd_mm	YEAR	1679.000	2013-12-31
Amgen	Epogen	product_sales	usd_mm	YEAR	1953.000	2013-12-31
Pfizer	Prevnar 13	product_sales	usd_mm	YEAR	1804.000	2013-12-31
Biogen Idec	Avonex	product_sales	usd_mm	YEAR	1902.000	2013-12-31
Roche	Herceptin	product_sales	usd_mm	YEAR	1928.997	2013-12-31
Pfizer	Celebrex	product_sales	usd_mm	YEAR	1933.000	2013-12-31
Novartis	Gleevec	product_sales	usd_mm	YEAR	1939.000	2013-12-31
Pfizer	Lyrica	product_sales	usd_mm	YEAR	1963.000	2013-12-31
Gilead Sciences	Truvada	product_sales	usd_mm	YEAR	1570.077	2013-12-31
Roche	Lucentis	product_sales	usd_mm	YEAR	1823.210	2013-12-31
Novo Nordisk	NovoRapid	product_sales	usd_mm	YEAR	1772.872	2013-12-31
Forest Laboratories	Namenda	product_sales	usd_mm	YEAR	1536.781	2013-12-31
Eli Lilly	Humalog	product_sales	usd_mm	YEAR	1521.400	2013-12-31
Baxter International	Gammagard Liquid	product_sales	usd_mm	YEAR	1451.000	2013-12-31
Merck & Co	Zetia	product_sales	usd_mm	YEAR	1454.000	2013-12-31
Merck KGaA	Rebif	product_sales	usd_mm	YEAR	1270.103	2013-12-31
Vertex Pharmaceuticals	Incivek	product_sales	usd_mm	YEAR	466.300	2013-12-31
AbbVie	AndroGel	product_sales	usd_mm	YEAR	1035.000	2013-12-31
Pfizer	Viagra	product_sales	usd_mm	YEAR	1132.000	2013-12-31
Eli Lilly	Alimta	product_sales	usd_mm	YEAR	1209.100	2013-12-31
Merck & Co	Gardasil	product_sales	usd_mm	YEAR	1295.000	2013-12-31
Takeda	Actos	product_sales	usd_mm	YEAR	61.915	2013-12-31
Allergan	Botox	product_sales	usd_mm	YEAR	1235.367	2013-12-31
Shire	Vyvanse	product_sales	usd_mm	YEAR	1198.196	2013-12-31
Novo Nordisk	Victoza	product_sales	usd_mm	YEAR	1342.523	2013-12-31
Amgen	Neupogen	product_sales	usd_mm	YEAR	1169.000	2013-12-31
AstraZeneca	Symbicort Turbuhaler	product_sales	usd_mm	YEAR	1233.000	2013-12-31
Pfizer	Premarin	product_sales	usd_mm	YEAR	1001.000	2013-12-31
GlaxoSmithKline	Lovaza	product_sales	usd_mm	YEAR	909.001	2013-12-31
Endo International	Lidoderm	product_sales	usd_mm	YEAR	602.998	2013-12-31
Boehringer Ingelheim	Combivent	product_sales	usd_mm	YEAR	802.303	2013-12-31
Pfizer	Lipitor	product_sales	usd_mm	YEAR	432.000	2013-12-31
Sanofi	Eloxatin	product_sales	usd_mm	YEAR	25.240	2013-12-31
Novo Nordisk	Levemir	product_sales	usd_mm	YEAR	1215.343	2013-12-31
AbbVie	Niaspan	product_sales	usd_mm	YEAR	650.000	2013-12-31
Johnson & Johnson	Tylenol	product_sales	usd_mm	YEAR	909.018	2013-12-31
Elan	Tysabri	product_sales	usd_mm	YEAR	0.000	2013-12-31
Daiichi Sankyo	Benicar	product_sales	usd_mm	YEAR	857.824	2013-12-31
Takeda	Velcade	product_sales	usd_mm	YEAR	949.698	2013-12-31
Baxter International	Advate	product_sales	usd_mm	YEAR	976.526	2013-12-31
Merck & Co	Janumet	product_sales	usd_mm	YEAR	878.000	2013-12-31
Merck & Co	Varivax	product_sales	usd_mm	YEAR	684.000	2013-12-31
Regeneron Pharmaceuticals	Eylea	product_sales	usd_mm	YEAR	1409.000	2013-12-31
